,open,high,low,close,adjusted close,volume
2012-01-06,652.94,670.25,649.79,650.02,16.3008,25007400.0
2012-01-13,646.5,647.0,616.91,624.99,15.6731,33567600.0
2012-01-20,631.98,640.99,581.7,585.99,14.6951,43061800.0
2012-01-27,586.0,588.66,564.55,579.98,14.5444,36563300.0
2012-02-03,578.05,597.07,573.4,596.33,14.9544,24728600.0
2012-02-10,595.01,614.5,594.01,605.91,15.1947,24371400.0
2012-02-17,610.5,613.8385,597.73,604.64,15.1628,22029500.0
2012-02-24,603.87,617.88,600.35,609.9,15.2947,16859700.0
2012-03-02,606.59,625.7,605.06,621.25,15.5793,23195400.0
2012-03-09,620.43,622.49,593.84,600.25,15.0527,20076300.0
2012-03-16,600.0,625.908,599.26,625.04,15.6744,24649700.0
2012-03-23,623.12,648.8,621.241,642.59,16.1145,21045300.0
2012-03-30,645.0,658.589,639.54,641.24,16.0806,21179100.0
2012-04-05,640.77,647.95,628.57,632.32,15.8569,16534100.0
2012-04-13,628.48,653.14,623.54,624.6,15.6634,41517400.0
2012-04-20,623.0,623.81,595.83,596.06,14.9476,35441300.0
2012-04-27,592.9,618.0,590.2,614.98,15.4221,19334300.0
2012-05-04,612.99,616.082,596.81,596.97,14.9705,20172400.0
2012-05-11,595.0,616.9,595.0,605.23,15.1776,21250400.0
2012-05-18,600.78,637.85,596.7,600.4,15.0565,36141300.0
2012-05-25,600.51,615.694,588.28,591.53,14.834,29527400.0
2012-06-01,595.81,599.13,568.35,570.98,14.3187,21055800.0
2012-06-08,570.22,587.89,566.47,580.45,14.5562,20054300.0
2012-06-15,584.21,585.3175,556.5201,564.51,14.1564,26344500.0
2012-06-22,562.62,584.28,559.25,571.48,14.3312,22295500.0
2012-06-29,567.33,580.13,557.21,580.07,14.5467,18110600.0
2012-07-06,581.82,600.06,576.5,585.98,14.6949,14690500.0
2012-07-13,584.95,592.43,562.09,576.52,14.4576,22823500.0
2012-07-20,576.37,612.94,568.4,610.82,15.3178,31626700.0
2012-07-27,600.48,635.0,598.25,634.96,15.9232,25232500.0
2012-08-03,636.05,643.72,623.41,641.33,16.0829,19523700.0
2012-08-10,639.61,649.38,636.13,642.0,16.0997,15167200.0
2012-08-17,647.42,677.25,646.68,677.14,16.9809,26444600.0
2012-08-24,675.5,680.6,662.168,678.63,17.0183,18182100.0
2012-08-31,662.99,688.99,659.24,685.09,17.1803,22810100.0
2012-09-07,684.55,712.25,673.5,706.15,17.7084,19728700.0
2012-09-14,709.76,713.0,680.88,709.68,17.7969,24682200.0
2012-09-21,708.11,734.92,705.0,733.99,18.4066,31847600.0
2012-09-28,731.0,764.89,730.25,754.5,18.9209,43975300.0
2012-10-05,759.05,774.38,750.27,767.65,19.2507,26686200.0
2012-10-12,761.0,763.58,738.29,744.75,18.6764,23555700.0
2012-10-19,741.94,759.425,672.0,681.79,17.0975,62526800.0
2012-10-26,681.45,687.33,669.7,675.15,16.931,27613200.0
2012-11-02,679.86,695.55,675.0,687.918,17.2512,11811000.0
2012-11-09,684.5,686.86,650.3,663.03,16.6271,22301700.0
2012-11-16,663.75,669.8,636.0,647.18,16.2296,19891100.0
2012-11-23,655.7,678.0,655.53,667.97,16.751,14968000.0
2012-11-30,666.44,699.22,658.0,698.37,17.5133,27363100.0
2012-12-07,702.24,705.89,682.3301,684.21,17.1582,18837300.0
2012-12-14,685.39,716.475,683.79,701.9632,17.6034,24086300.0
2012-12-21,705.5,738.28,704.02,715.63,17.9461,26257200.0
2012-12-28,714.51,715.18,698.61,700.01,17.5544,10135100.0
2013-01-04,700.0,741.47,696.0,737.97,18.5064,19221400.0
2013-01-11,735.45,745.0,724.43,739.99,18.557,16937600.0
2013-01-18,737.0,742.2,701.33,704.51,17.6673,28477800.0
2013-01-25,704.66,758.48,695.52,753.67,18.9001,30589400.0
2013-02-01,751.76,776.6,746.54,775.6,19.45,20953900.0
